req_id,request_t,arrival_t,activity_t,leave_t,label,O,D,new_label,revenue
0,38,48,474,522,0,1,1,0,24.75
1,239,274,463,737,0,0,1,0,24.2
2,407,422,408,830,0,0,1,0,21.45
3,405,430,28,458,0,1,0,0,2.45
4,397,432,563,995,0,0,1,0,29.2
5,417,432,492,924,0,1,0,0,25.65
6,408,433,100,533,0,0,1,0,6.05
7,428,443,497,940,0,1,0,0,25.9
8,433,443,423,866,0,1,0,0,22.2
9,438,448,627,1075,0,0,0,0,32.4
10,454,464,330,794,0,0,1,0,17.55
11,439,464,131,595,0,1,0,0,7.6
12,415,470,737,1207,0,1,1,0,37.9
13,462,472,582,1054,0,0,1,0,30.15
14,452,477,485,962,0,1,0,0,25.3
15,471,481,138,619,0,1,1,0,7.95
16,457,482,464,946,0,1,0,0,24.25
17,469,484,407,891,0,0,1,0,21.4
18,490,500,256,756,0,1,0,0,13.85
19,486,501,412,913,0,0,1,0,21.65
20,489,504,224,728,0,1,1,0,12.25
21,478,513,425,938,0,0,0,0,22.3
22,484,519,540,1059,0,0,0,0,28.05
23,512,522,628,1150,0,0,0,0,32.45
24,490,525,312,837,0,0,0,0,16.65
25,506,531,66,597,0,1,0,0,4.35
26,518,533,731,1264,0,0,0,0,37.6
27,443,533,296,829,0,1,0,0,15.85
28,480,535,155,690,0,0,0,0,8.8
29,527,537,378,915,0,0,0,0,19.95
30,503,538,571,1109,0,0,0,0,29.6
31,530,540,67,607,0,0,0,0,4.4
32,529,544,25,569,0,1,0,0,2.3
33,477,547,13,560,0,1,1,0,1.7
34,529,554,86,640,0,0,0,0,5.35
35,548,563,16,579,0,0,0,0,1.85
36,566,581,17,598,0,1,0,0,1.9
37,537,592,99,691,0,1,1,0,6
38,549,594,14,608,0,1,1,0,1.75
39,556,601,16,617,0,0,0,0,1.85
40,585,610,513,1123,0,0,0,0,26.7
41,610,625,33,658,0,0,1,0,2.7
42,613,628,157,785,0,1,0,0,8.9
43,616,641,17,658,0,0,0,0,1.9
44,647,662,318,980,0,1,0,0,16.95
45,649,664,690,1354,0,0,1,0,35.55
46,652,667,26,693,0,0,1,0,2.35
47,703,713,866,1579,0,1,1,0,44.35
48,690,715,21,736,0,0,0,0,2.1
49,723,738,137,875,0,0,0,0,7.9
50,676,746,232,978,0,0,1,0,12.65
51,741,756,362,1118,0,0,0,0,19.15
52,777,792,30,822,0,1,1,0,2.55
53,786,811,24,835,0,0,0,0,2.25
54,750,820,10,830,0,0,1,0,1.55
55,856,866,21,887,0,1,1,0,2.1
56,858,873,19,892,0,1,0,0,2
57,883,908,381,1289,0,1,1,0,20.1
58,883,908,19,927,0,1,0,0,2
59,877,912,20,932,0,1,0,0,2.05
60,909,919,107,1026,0,0,1,0,6.4
61,964,974,23,997,0,1,1,0,2.2
62,969,979,437,1416,0,1,1,0,22.9
63,971,986,73,1059,0,0,0,0,4.7
64,936,991,98,1089,0,1,1,0,5.95
65,968,993,14,1007,0,0,1,0,1.75
66,968,993,23,1016,0,0,1,0,2.2
67,955,1010,135,1145,0,1,1,0,7.8
68,996,1011,16,1027,0,0,1,0,1.85
69,1008,1023,160,1183,0,0,1,0,9.05
70,1011,1026,24,1050,0,1,0,0,2.25
71,1023,1038,101,1139,0,1,0,0,6.1
72,1032,1042,365,1407,0,0,0,0,19.3
73,1034,1044,127,1171,0,0,1,0,7.4
74,1035,1045,534,1579,0,0,0,0,27.75
75,1011,1046,20,1066,0,0,1,0,2.05
76,1027,1052,31,1083,0,1,0,0,2.6
77,1046,1061,79,1140,0,1,1,0,5
78,1052,1062,631,1693,0,0,0,0,32.6
79,978,1068,65,1133,0,0,0,0,4.3
80,1050,1075,636,1711,0,1,0,0,32.85
81,1082,1092,17,1109,0,0,0,0,1.9
82,1039,1094,228,1322,0,1,1,0,12.45
83,1025,1095,18,1113,0,0,1,0,1.95
84,1067,1112,41,1153,0,1,1,0,3.1
85,1096,1121,20,1141,0,0,1,0,2.05
86,1098,1123,13,1136,0,0,0,0,1.7
87,1108,1133,22,1155,0,1,1,0,2.15
88,1123,1138,12,1150,0,1,1,0,1.65
89,1133,1158,20,1178,0,0,0,0,2.05
90,1131,1166,20,1186,0,1,0,0,2.05
91,1122,1177,13,1190,0,0,1,0,1.7
92,1172,1187,17,1204,0,0,0,0,1.9
93,1181,1226,28,1254,0,1,0,0,2.45
94,1224,1239,33,1272,0,0,0,0,2.7
95,1229,1254,18,1272,0,0,0,0,1.95
96,1236,1281,20,1301,0,1,1,0,2.05
97,1274,1299,16,1315,0,1,0,0,1.85
98,1316,1351,23,1374,0,0,0,0,2.2
99,1327,1382,22,1404,0,1,1,0,2.15
100,-10,4,46,50,1,1,0,1,73.85
101,-19,5,28,33,1,1,1,1,45.95
102,27,37,38,75,1,0,1,1,61.45
103,18,43,61,104,1,1,0,2,97.1
104,40,55,37,92,1,0,0,1,59.9
105,20,55,32,87,1,0,1,1,52.15
106,95,105,38,143,1,0,0,1,61.45
107,333,368,35,403,1,0,0,1,56.8
108,712,767,32,799,1,1,1,1,52.15
109,1408,1423,507,1930,1,0,0,2,786.85
